Time,Irradiance,Temp,
0.25,1400,103,
0.5,1400,103,
0.75,1400,103,
1,1400,103,
1.25,992,102,
1.5,946,94,
1.75,893,86,
2,848,78,
2.25,811,72,
2.5,717,56,
2.75,474,16,
3,300,-22,
3.25,268,-47,
3.5,240,-55,
3.75,221,-76,
4,200,-80,
4.25,180,-82,
4.5,153,-80,
4.75,117,-57,
5,100,-33,
5.25,130,-18,
5.5,248,7,
5.75,495,38,
6,650,78,
6.25,893,103,
6.5,946,103,
6.75,992,103,
7,1100,103,
7.25,1250,103,
7.5,1380,103,
7.75,1400,103,
8,1400,103,
8.25,1400,103,
8.5,1400,103,
8.75,1400,103,
9,1400,103,
9.25,1400,103,
9.5,1400,103,
9.75,1400,103,
10,1400,103,
