Time,Irradiance,Temp
0.25,1400,103
0.5,1400,103
0.75,1400,103
1,1400,103
1.25,1392,102
1.5,1346,94
1.75,1293,86
2,1248,78
2.25,1211,72
2.5,1117,56
2.75,874,16
3,649,-22
3.25,497,-47
3.5,447,-55
3.75,326,-76
4,302,-80
4.25,290,-82
4.5,299,-80
4.75,439,-57
5,579,-33
5.25,672,-18
5.5,819,7
5.75,1005,38
6,1246,78
6.25,1400,103
6.5,1400,103
6.75,1400,103
7,1400,103
7.25,1400,103
7.5,1400,103
7.75,1400,103
8,1400,103
8.25,1400,103
8.5,1400,103
8.75,1400,103
9,1400,103
9.25,1400,103
9.5,1400,103
9.75,1400,103
10,1400,103
